attack_type,attack_subtype,config,n,succ,asr_pct
DPI,escape_characters,agenticcyops,600,10,1.67
DPI,escape_characters,flat,600,100,16.67
DPI,fake_completion,agenticcyops,600,11,1.83
DPI,fake_completion,flat,600,284,47.33
DPI,naive,agenticcyops,600,48,8.0
DPI,naive,flat,600,108,18.0
IPI,escape_characters,agenticcyops,600,15,2.5
IPI,escape_characters,flat,600,64,10.67
IPI,fake_completion,agenticcyops,600,22,3.67
IPI,fake_completion,flat,600,192,32.0
IPI,naive,agenticcyops,600,20,3.33
IPI,naive,flat,600,272,45.33
MP,context_manipulation,agenticcyops,600,0,0.0
MP,context_manipulation,flat,600,236,39.33
MP,naive,agenticcyops,600,15,2.5
MP,naive,flat,600,256,42.67
PoT,trigger_phrase,agenticcyops,300,20,6.67
PoT,trigger_phrase,flat,300,108,36.0
