attack_subtype,config,n,llm_asr_pct,defended_asr_pct
context_manipulation,acl_hardened,150,36.67,36.67
context_manipulation,agenticcyops,150,39.33,0.0
context_manipulation,flat,150,35.33,35.33
escape_characters,acl_hardened,300,12.67,12.67
escape_characters,agenticcyops,300,13.67,0.0
escape_characters,flat,300,13.67,13.67
fake_completion,acl_hardened,300,40.33,40.33
fake_completion,agenticcyops,300,39.67,0.0
fake_completion,flat,300,40.33,40.33
naive,acl_hardened,450,36.89,36.89
naive,agenticcyops,450,35.33,2.89
naive,flat,450,33.33,33.33
trigger_phrase,acl_hardened,75,32.0,32.0
trigger_phrase,agenticcyops,75,36.0,6.67
trigger_phrase,flat,75,32.0,32.0
