attack_subtype,config,n,llm_asr_pct,defended_asr_pct
context_manipulation,acl_hardened,150,40.0,40.0
context_manipulation,agenticcyops,150,40.67,0.0
context_manipulation,flat,150,37.33,37.33
escape_characters,acl_hardened,300,8.67,8.67
escape_characters,agenticcyops,300,11.0,0.0
escape_characters,flat,300,12.33,12.33
fake_completion,acl_hardened,300,37.67,37.67
fake_completion,agenticcyops,300,36.0,1.67
fake_completion,flat,300,36.67,36.67
naive,acl_hardened,450,35.11,35.11
naive,agenticcyops,450,35.33,7.11
naive,flat,450,34.44,34.44
trigger_phrase,acl_hardened,75,29.33,29.33
trigger_phrase,agenticcyops,75,32.0,13.33
trigger_phrase,flat,75,33.33,33.33
