attack_subtype,config,n,llm_asr_pct,defended_asr_pct
context_manipulation,acl_hardened,150,40.67,40.67
context_manipulation,agenticcyops,150,37.33,0.0
context_manipulation,flat,150,39.33,39.33
escape_characters,acl_hardened,300,10.33,10.33
escape_characters,agenticcyops,300,11.0,0.0
escape_characters,flat,300,10.33,10.33
fake_completion,acl_hardened,300,38.0,38.0
fake_completion,agenticcyops,300,36.33,0.0
fake_completion,flat,300,37.67,37.67
naive,acl_hardened,450,36.67,36.67
naive,agenticcyops,450,36.44,2.0
naive,flat,450,34.89,34.89
trigger_phrase,acl_hardened,75,30.67,30.67
trigger_phrase,agenticcyops,75,29.33,6.67
trigger_phrase,flat,75,32.0,32.0
