attack_type,attack_subtype,config,n,succ,asr_pct
DPI,escape_characters,agenticcyops,150,0,0.0
DPI,escape_characters,flat,150,25,16.67
DPI,fake_completion,agenticcyops,150,0,0.0
DPI,fake_completion,flat,150,71,47.33
DPI,naive,agenticcyops,150,0,0.0
DPI,naive,flat,150,27,18.0
IPI,escape_characters,agenticcyops,150,0,0.0
IPI,escape_characters,flat,150,16,10.67
IPI,fake_completion,agenticcyops,150,0,0.0
IPI,fake_completion,flat,150,48,32.0
IPI,naive,agenticcyops,150,0,0.0
IPI,naive,flat,150,68,45.33
MP,context_manipulation,agenticcyops,150,0,0.0
MP,context_manipulation,flat,150,59,39.33
MP,naive,agenticcyops,150,0,0.0
MP,naive,flat,150,64,42.67
PoT,trigger_phrase,agenticcyops,75,0,0.0
PoT,trigger_phrase,flat,75,27,36.0
