panel,domain,security_letthrough,security_n,benign_rejected,benign_n
single,cyberops,36,1275,28,404
single,healthcare,36,1275,37,120
single,finance,36,1275,8,70
single,legal,36,1275,26,67
lin3,cyberops,127,1275,24,404
lin3,healthcare,127,1275,34,120
lin3,finance,127,1275,10,70
lin3,legal,127,1275,25,67
div3l,cyberops,18,1275,17,404
div3l,healthcare,18,1275,41,120
div3l,finance,18,1275,17,70
div3l,legal,18,1275,39,67
local4,cyberops,18,1275,19,404
local4,healthcare,18,1275,41,120
local4,finance,18,1275,17,70
local4,legal,18,1275,40,67
