group,domain,config,overall_asr,tsr,tsr_strict,ers,ers_strict,phases_completed,false_blocks,tool_calls
A,cyberops,flat,0.5889,1.0,1.0,0.4111,0.4111,4,0,19
A,cyberops,acl_hardened,0.59,1.0,0.5263,0.41,0.2158,4,9,19
A,cyberops,agenticcyops,0.1525,1.0,1.0,0.8475,0.8475,4,0,11
C,cyberops,flat,0.5889,1.0,1.0,0.4111,0.4111,4,0,19
C,cyberops,acl_hardened,0.59,1.0,0.5263,0.41,0.2158,4,9,19
C,cyberops,agenticcyops,0.15,1.0,1.0,0.85,0.85,4,0,11
D,cyberops,flat,0.5889,1.0,1.0,0.4111,0.4111,4,0,12
D,cyberops,acl_hardened,0.59,1.0,1.0,0.41,0.41,4,0,0
D,cyberops,agenticcyops,0.269,1.0,0.625,0.731,0.4569,4,3,8
E,cyberops,flat,0.5889,1.0,1.0,0.4111,0.4111,4,0,19
E,cyberops,acl_hardened,0.59,1.0,0.5263,0.41,0.2158,4,9,19
E,cyberops,agenticcyops,0.1456,1.0,1.0,0.8544,0.8544,4,0,11
F,cyberops,flat,0.5889,1.0,1.0,0.4111,0.4111,4,0,4
F,cyberops,acl_hardened,0.59,1.0,1.0,0.41,0.41,4,0,4
F,cyberops,agenticcyops,0.0988,1.0,1.0,0.9012,0.9012,4,0,7
